# ----------------------------------------
# data.gov.uk
# Directory page views-Free-form 1
# 20250802-20260802
# ----------------------------------------

Page title,Page location,Views
ground investigation (site investigation) reports collection - data.gov.uk,https://www.data.gov.uk/dataset/8f90e55f-b92f-4b7a-aedc-a81e37afeff0/ground-investigation-site-investigation-reports-collection,16
hbsmr conservation areas - polygons - data.gov.uk,https://www.data.gov.uk/dataset/757597ab-ee47-4848-8fea-41b25f8b0358/hbsmr-conservation-areas-polygons,16
highways england pavement management system network layer hapms - national data library,https://www.data.gov.uk/dataset/64df0f9e-cb98-4413-a88c-31dc55dd75f0/hapms,16
historic landfill sites - quarterly summary - national data library,https://www.data.gov.uk/dataset/aa35a23f-f837-4d94-a91d-35b7cc14de38/historic-landfill-sites-quarterly-summary,16
host class - data.gov.uk,https://www.data.gov.uk/dataset/[date]-fbab-4c49-ab30-a76913c372c3/host-class1,16
hydrometric monitoring points - national data library,https://www.data.gov.uk/dataset/0bac3947-c632-47eb-83d5-fff7f1911537/hydrometric-monitoring-points1,16
inventory of closed mining waste facilities - national data library,https://www.data.gov.uk/dataset/e81078ea-b16d-4534-a662-d85fe32b6414/inventory-of-closed-mining-waste-facilities2,16
learning aim reference service - national data library,https://www.data.gov.uk/dataset/6f979630-d806-4641-9a89-acf1d3b66a31/learning-aim-reference-service,16
local wildlife sites - national data library,https://www.data.gov.uk/dataset/c850f380-db98-4e16-b7fc-7f33d5fc6519/local-wildlife-sites3,16
london business demography report - data.gov.uk,https://www.data.gov.uk/dataset/47a24049-41de-[date]-fa90dd8967f1/london-business-demography-report1,16
london solar opportunity map (lsom) - national data library,https://www.data.gov.uk/dataset/7aaf67f1-942f-405c-a15d-fa37076dd295/london-solar-opportunity-map-lsom,16
major towns and cities (december 2015) boundaries ew bgg (v2) - national data library,https://www.data.gov.uk/dataset/46c36d32-774d-40e2-aa24-d53f7fdf1826/major-towns-and-cities-december-2015-boundaries-ew-bgg-v21,16
mine water heat opportunity mapping for 10 cities in england - national data library,https://www.data.gov.uk/dataset/0a4d95c1-5977-41a1-9c35-83017b871d22/mine-water-heat-opportunity-mapping-for-10-cities-in-england,16
minerals safeguarding area - national data library,https://www.data.gov.uk/dataset/0befaf2d-966e-4878-b5ae-ae1dbab4abac/minerals-safeguarding-area24,16
mod-organogram of staff roles & salaries-de&s - data.gov.uk,https://www.data.gov.uk/dataset/fcbe6337-addf-4348-90af-93ad4ddd469d/organogram-defence-equipment-and-support,16
mod-organogram of staff roles & salaries-defence business services - data.gov.uk,https://www.data.gov.uk/dataset/88a94ac6-c215-4e74-a5c5-aac2bd407d91/defence-business-services-organogram-of-staff-roles-salaries,16
modelled abstraction reductions - national framework for water resources 2025 - data.gov.uk,https://www.data.gov.uk/dataset/360cc096-c48a-4b57-[date]5f4e8b82/modelled-abstraction-reductions-national-framework-for-water-resources-2025,16
national register of road haulage and road passenger transport operators - national data library,https://www.data.gov.uk/dataset/5ac5a1b8-d05b-4aa6-aca5-194ad67d1f6b/public_data_csc,16
national register of social housing (nrosh) - data.gov.uk,https://www.data.gov.uk/dataset/cf3aac3e-f3f3-4564-9df4-[date]6251/national-register-of-social-housing-nrosh,16
ni 195 - improved street and environmental cleanliness (levels of litter detritus graffiti and fly-posting) - data.gov.uk,https://www.data.gov.uk/dataset/8883b252-[date]-b1b3-f72d814f20e4/ni-195-improved-street-and-environmental-cleanliness,16
noise action planning important areas round 2 england - data.gov.uk,https://www.data.gov.uk/dataset/fc[date]56-4fd1-9c7d-c082331e40e4/noise-action-planning-important-areas-round-2-england1,16
"nsta field production points, pprs (wgs84) - data.gov.uk",https://www.data.gov.uk/dataset/12e8231f-0c6b-4a41-bfbf-f2f1886e88ad/nsta-field-production-points-pprs-wgs845,16
ofcom annual report - national data library,https://www.data.gov.uk/dataset/64918b06-e7a3-4fbd-8ba9-bb958d70c8f8/ofcom-annual-report,16
ons postcode directory (february 2025) for the uk - data.gov.uk,https://www.data.gov.uk/dataset/efccbd96-ffd0-476f-b80d-20b1787ff51a/ons-postcode-directory-february-2025-for-the-uk?utm_source=chatgpt.com,16
open and green spaces - data.gov.uk,https://www.data.gov.uk/dataset/960ce30c-4754-4d80-b2a6-3cd79085d99e/open-and-green-spaces,16
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/eb7facfa-6fc5-45d2-840f-04e91cbd80fb/organogram-maritime-and-coastguard-agency,16
os net - data.gov.uk,https://www.data.gov.uk/dataset/1bc906b6-af2c-4b8c-9d43-e8ee3c3c061f/os-net,16
page not found - national data library,https://www.data.gov.uk/dataset/aquifer-designation-map-bedrock-geology,16
parishes (may 2024) boundaries ew bgc - data.gov.uk,https://www.data.gov.uk/dataset/da076630-3f1b-4871-841f-232dc1b93e15/parishes-may-2024-boundaries-ew-bgc,16
police force areas (december 2023) boundaries ew bfc - data.gov.uk,https://www.data.gov.uk/dataset/603056e4-58f7-[date]-[date]ea60/police-force-areas-december-2023-boundaries-ew-bfc,16
population projections - national data library,https://www.data.gov.uk/dataset/1a3cc273-5de8-42ff-aed9-3f6df0014aff/population-projections1,16
registered battlefields gis data - data.gov.uk,https://www.data.gov.uk/dataset/3b327613-faa1-4d0b-8fb8-75436fed80cc/registered-battlefields-gis-data,16
reservoir flood extents - fluvial contribution (national) - data.gov.uk,https://www.data.gov.uk/dataset/d36db06a-1d7d-4c34-b90a-308cb6a6f92b/reservoir-flood-extents-fluvial-contribution-national,16
rivers and sea defended and undefended flood risk extents - climate change - national data library,https://www.data.gov.uk/dataset/cc447d2e-2f27-44a1-b09b-e6d5c6fbf27b/rivers-and-sea-defended-and-undefended-flood-risk-extents-climate-change,16
road noise - laeq 16h - england round 2 - data.gov.uk,https://www.data.gov.uk/dataset/9f1d7309-dc00-4b13-8ba6-f3096aba4c13/road-noise-laeq-16h-england-round-21,16
road safety data - north yorkshire highways authority - data.gov.uk,https://www.data.gov.uk/dataset/d65a3fb2-1ac1-49c5-b6e9-c68c69b7ca8f/road-safety-data,16
rugby tree preservation orders - data.gov.uk,https://www.data.gov.uk/dataset/[date]-d71c-47a7-a30a-1170e1f1d79b/rugby-tree-preservation-orders,16
school crossings - data.gov.uk,https://www.data.gov.uk/dataset/9d0f4ef7-3da2-481e-b8f8-8ce11b6e7170/school-crossings,16
"senior officials expenses,travel and hospitality in dwp - data.gov.uk",https://www.data.gov.uk/dataset/091af8ee-95db-[date]-42ee998be323/senior-officials-expenses-travel-and-hospitality-in-dwp,16
small business survey statistics - data.gov.uk,https://www.data.gov.uk/dataset/efa5133a-ad72-47a3-aef9-b4f8ab385a0c/small-business-survey-statistics,16
"spend over £25,000 in hm revenue & customs - data.gov.uk",https://www.data.gov.uk/dataset/008d307b-[date]-9b62-2eabdef48778/financial-transactions-data-hmrc,16
"spend over £25,000 in milton keynes hospital nhs foundation trust - data.gov.uk",https://www.data.gov.uk/dataset/97d9ad6e-9711-418c-80f6-c760220e2d9c/financial-transactions-data-milton-keynes-hospital-nhs-foundation-trust,16
"spend over £25,000 in ofwat - data.gov.uk",https://www.data.gov.uk/dataset/43e2236d-f00a-4762-929d-2211e0ab5ad8/financial-transactions-data-ofwat,16
sub-national total final energy consumption - national data library,https://www.data.gov.uk/dataset/4b7b7f64-0b97-4a6e-8e45-1218b9a81876/total_fuels_consumption_at_local_authority_level,16
the london diplomatic list (blue book) - data.gov.uk,https://www.data.gov.uk/dataset/ac[date]37-461e-8545-a7004f63ab42/https-www-gov-uk-government-publications-foreign-embassies-in-the-uk,16
tree preservation orders - data.gov.uk,https://www.data.gov.uk/dataset/b55d8c01-e05f-4508-990c-de8e173c351f/tree-preservation-orders71,16
waste exemptions - national data library,https://www.data.gov.uk/dataset/fe546d38-408d-4275-8e74-55e197c6f11a/waste-exemptions,16
water framework directive (wfd) transitional and coastal water bodies cycle 3 classification 2019 (simplified) - data.gov.uk,https://www.data.gov.uk/dataset/52fa8958-ea30-46fc-8ecb-f31ea8f89aa6/water-framework-directive-wfd-transitional-and-coastal-water-bodies-cycle-3-classification-20191,16
wfd lake water bodies cycle 1 - data.gov.uk,https://www.data.gov.uk/dataset/33dcd836-[date]-a3ca-[date]2415/wfd-lake-water-bodies-cycle-1,16
world mineral statistics dataset - data.gov.uk,https://www.data.gov.uk/dataset/3ac64c8c-84f9-4c81-8376-693aec705436/world-mineral-statistics-dataset2,16
2024 hazardous waste interrogator - national data library,https://www.data.gov.uk/dataset/16f6ee0e-2c57-4ebd-925e-5c8c089b41fc/2024-hazardous-waste-interrogator,15
agricultural parishes - data.gov.uk,https://www.data.gov.uk/dataset/939fdd5e-7322-4ab7-9dc9-bbfc538c4477/agricultural-parishes,15
aims asset bundle - national data library,https://www.data.gov.uk/dataset/a3861a23-78a1-438d-8c36-1f9f1133c572/aims-asset-bundle,15
article 4 directions - scotland - data.gov.uk,https://www.data.gov.uk/dataset/cb61f3f2-811d-47aa-8d5f-140a71efcb7b/article-4-directions-scotland,15
beis: heat networks planning database - national data library,https://www.data.gov.uk/dataset/8a5139b3-e49b-47bd-abba-d0199b624d8a/heat-networks-planning-database,15
biodiversity gain site register - national data library,https://www.data.gov.uk/dataset/0af94174-e795-4fa2-82c2-809bfe7007ab/biodiversity-gain-site-register,15
bristol air quality - data.gov.uk,https://www.data.gov.uk/dataset/3f5d7bbf-73af-46cd-8b9e-8e07cedb9506/bristol-air-quality,15
business rates register & empty commercial properties - data.gov.uk,https://www.data.gov.uk/dataset/b9315198-d5c0-4b8c-b6a6-0ea3b0332c98/business-rates-register-empty-commercial-properties,15
coastal overview map [eng only] - data.gov.uk,https://www.data.gov.uk/dataset/4b08fe32-b189-44f3-a622-65fe74cc7f07/coastal-overview-map-eng-only,15
conservation areas - national data library,https://www.data.gov.uk/dataset/b62d9315-b1d5-455c-ac69-c1161aa1c30c/conservation-areas1,15
digital great britain coastlines (digbcoast v1.0): a dataset of the coastline position of great britain from 1984 to 2022 derived from publicly available optical satellite imagery - national data library,https://www.data.gov.uk/dataset/bfed74bc-[date]-a689-8d429f67be4b/digital-great-britain-coastlines-digbcoast-v1-0-a-dataset-of-the-coastline-position-of-great-br,15
dna population data to support the implementation of national dna database dna-17 profiling - data.gov.uk,https://www.data.gov.uk/dataset/c7d4178d-999b-41fd-[date]d2aff57d/dna-population-data-to-support-the-implementation-of-national-dna-database-dna-17-profiling,15
electric vehicles charging points - data.gov.uk,https://www.data.gov.uk/dataset/e865fb83-66fb-4b5e-a95e-cfbb68a7beb5/electric-vehicles-charging-points,15
felling licence applications england - data.gov.uk,https://www.data.gov.uk/dataset/470a3d60-612a-444d-8605-b7db96b89804/felling-licence-applications-england,15
gp prescribing data - data.gov.uk,https://www.data.gov.uk/dataset/a7b76920-bc0a-48fd-9abf-dc5ad0999886/gp-prescribing-data,15
greater manchester local nature recovery strategy - national data library,https://www.data.gov.uk/dataset/10e87b90-3a79-4b2f-8cdf-7777ce24009e/greater-manchester-local-nature-recovery-strategy,15
harrogate district article 4 areas - data.gov.uk,https://www.data.gov.uk/dataset/3082c3bd-6c13-41bf-a622-9e9562b67b70/harrogate-district-article-4-areas,15
"higher education student statistics: uk, 2023/24 - data.gov.uk",https://www.data.gov.uk/dataset/7813790e-0b5a-4d5a-b0ef-d76510bcb308/higher-education-student-statistics-uk-2023-24,15
highway boundary - national data library,https://www.data.gov.uk/dataset/d92af767-a3d8-4860-b7da-d5edf596f90e/highway-boundary,15
historic election results - data.gov.uk,https://www.data.gov.uk/dataset/d5cd[date]-4e73-9e8b-5ffe4ce80e69/historic-election-results1,15
hmo public register - national data library,https://www.data.gov.uk/dataset/ed7e2fd7-b819-47fb-a160-b02fdfacad0c/hmo-public-register,15
house prices - data.gov.uk,https://www.data.gov.uk/dataset/c2d3319a-4a35-4e38-baa1-d85e33fd8d9c/house-prices1,15
hse organisation chart of staff roles and salaries - data.gov.uk,https://www.data.gov.uk/dataset/9ab2b6f2-be7f-46f0-aef3-f7b29a78ce6e/hse-organogram-of-staff-roles-salaries,15
index of multiple deprivation (december 2019) lookup in en - data.gov.uk,https://www.data.gov.uk/dataset/5f124118-f20e-4b28-aa24-2edda9b4e3cb/index-of-multiple-deprivation-december-2019-lookup-in-en,15
intertidal substrate foreshore: england and scotland - national data library,https://www.data.gov.uk/dataset/6efcebae-874e-4691-bf46-53057bdebda1/intertidal-substrate-foreshore-england-and-scotland,15
inventory of reservoirs amounting to 90% of total uk storage - data.gov.uk,https://www.data.gov.uk/dataset/aa1e16e8-eded-4a60-8d1d-0df920c319b6/inventory-of-reservoirs-amounting-to-90-of-total-uk-storage,15
"june survey of agriculture and horticulture, uk - data.gov.uk",https://www.data.gov.uk/dataset/c5004352-fe97-4bd5-8f2e-02554c02c2ba/june_survey_of_agriculture_and_horticulture_uk,15
land cover map 2024 (uk land cover statistics) - data.gov.uk,https://www.data.gov.uk/dataset/4e39e20e-2be5-4dd1-a205-62aaeb6a86e1/land-cover-map-2024-uk-land-cover-statistics?utm_source=chatgpt.com,15
lidar composite dtm 2019 - 2m - data.gov.uk,https://www.data.gov.uk/dataset/67639c1b-ac0e-492a-abba-02ed436f826f/lidar-composite-dtm-2019-2m,15
lidar ground truth surveys - data.gov.uk,https://www.data.gov.uk/dataset/123fd228-9033-4cac-afc4-4084977dd30a/lidar-ground-truth-surveys,15
local nature reserves (scotland) - data.gov.uk,https://www.data.gov.uk/dataset/ff[date]77-42c9-a263-97cead27ddee/local-nature-reserves-scotland,15
localities - scotland - data.gov.uk,https://www.data.gov.uk/dataset/1a9d2abf-9050-42ac-b508-02cf2f4532b2/localities-scotland,15
lower layer super output areas (december 2021) names and codes in ew (v3) - national data library,https://www.data.gov.uk/dataset/24f0ef4c-e6cb-4c66-beb3-1d98fc3fb67d/lower-layer-super-output-areas-december-2021-names-and-codes-in-ew-v3,15
mining remediation authority abandoned coal mine plans collection - national data library,https://www.data.gov.uk/dataset/437b14aa-2a18-47af-bc2a-e02c430b82d2/mining-remediation-authority-abandoned-coal-mine-plans-collection,15
mot test centres in great britain - national data library,https://www.data.gov.uk/dataset/87de9bf8-b936-44ff-89c4-f69f8f9bb9c1/mot-test-centres,15
national coastal erosion risk mapping (ncerm) - national (2024) - national data library,https://www.data.gov.uk/dataset/e75374d5-ef4b-4f9f-abc1-6aefde4627b7/national-coastal-erosion-risk-mapping-ncerm-national-2024,15
national hip fracture database annual report 2024 - data.gov.uk,https://www.data.gov.uk/dataset/4726da8e-72ad-4e34-9180-d7b7c2fa261e/national-hip-fracture-database-annual-report-2024,15
national lidar programme - data.gov.uk,https://www.data.gov.uk/dataset/f0db0249-f17b-4036-9e65-309148c97ce4/national-lidar-programme?utm_source=chatgpt.com,15
national parks (december 2021) boundaries gb bfe - data.gov.uk,https://www.data.gov.uk/dataset/e214d043-66a5-4639-90a2-82aa30e71115/national-parks-december-2021-boundaries-gb-bfe,15
natura sites in england (merged) - data.gov.uk,https://www.data.gov.uk/dataset/696743a3-88dc-4ddd-afe1-b7d4aa74ed35/natura-sites-in-england-merged,15
natural flood management (nfm) heat maps - data.gov.uk,https://www.data.gov.uk/dataset/00ad93a5-737e-42c6-b06a-3752826d7cb3/natural-flood-management-nfm-heat-maps,15
noise action planning important areas round 3 england - national data library,https://www.data.gov.uk/dataset/948d6c4c-772e-4f55-9f39-97508e1cc701/noise-action-planning-important-areas-round-3-england,15
norfolk public rights of way - data.gov.uk,https://www.data.gov.uk/dataset/8f98c821-f955-49f7-93e5-94f5d53fd030/norfolk-public-rights-of-way,15
number of international visitors to london - national data library,https://www.data.gov.uk/dataset/08ff246b-176a-40cc-af3c-2076dfbb7a92/number-of-international-visitors-to-london1,15
organogram of staff roles & salaries - national data library,https://www.data.gov.uk/dataset/6feaf2b0-05df-464e-ba9b-35eafc45a0bb/organogram-land-registry,15
os open greenspace - data.gov.uk,https://www.data.gov.uk/dataset/4c1fe120-a920-4f6d-bc41-8fd4586bd662/os-open-greenspace1?utm_source=chatgpt.com,15
os terrain 5 dtm - national data library,https://www.data.gov.uk/dataset/45d864dc-63c4-40d6-8b12-f6450544d6ef/os-terrain-5-dtm3,15
os terrain 50 dtm - national data library,https://www.data.gov.uk/dataset/835cf20a-8feb-4394-8b30-dcfe840ac13d/os-terrain-50-dtm2,15
pm2.5 map and exposure data - data.gov.uk,https://www.data.gov.uk/dataset/1c0ebfb7-36b4-4ba5-a794-f54bfb647d06/pm2-5-map-and-exposure-data1?utm_source=chatgpt.com,15
police force areas (december 2025) names and codes in the uk - data.gov.uk,https://www.data.gov.uk/dataset/72ec308e-901e-44f2-9303-fc998909ef57/police-force-areas-december-2025-names-and-codes-in-the-uk,15
police force boundaries - england and wales - data.gov.uk,https://www.data.gov.uk/dataset/e30745e7-1d94-4b38-a228-068decc68625/police-force-boundaries-england-and-wales,15
procurement contracts - national data library,https://www.data.gov.uk/dataset/d176e76e-d967-45a6-b4eb-0aa9e643684c/contracts1,15
public libraries in england: basic dataset - data.gov.uk,https://www.data.gov.uk/dataset/782d6528-11bd-4ae0-ae47-63b456c84e76/public-libraries-in-england-basic-dataset,15
public rights of way - data.gov.uk,https://www.data.gov.uk/dataset/[date]-2856-47d0-8034-a37b57f50c60/public-rights-of-way-northumberland,15
risk of flooding from rivers and sea - postcodes in areas at risk - data.gov.uk,https://www.data.gov.uk/dataset/4d606c86-00ab-4dd7-911d-c691bbef0e52/risk-of-flooding-from-rivers-and-sea-postcodes-in-areas-at-risk,15
risk of flooding from surface water suitability - data.gov.uk,https://www.data.gov.uk/dataset/d5ca01ec-e535-4d3f-adc0-089b4f03687d/risk-of-flooding-from-surface-water-suitability,15
rpa parcel points (england) - data.gov.uk,https://www.data.gov.uk/dataset/ed6f8d0e-df4f-4027-b4e3-ee43d7cebf35/rpa-parcel-points-england,15
rqia - mental health and learning disability facilities (metadata) - data.gov.uk,https://www.integration.data.gov.uk/dataset/cfdf8e5b-b794-4a42-a6e9-[date]6aec/rqia-mental-health-and-learning-disability-facilities-metadata,15
rushmoor £250 spend - data.gov.uk,https://www.data.gov.uk/dataset/008353cd-eddc-4338-b204-282e9548b9d1/rushmoor-250-spend,15
school catchments - scotland - national data library,https://www.data.gov.uk/dataset/3a32b723-c477-48af-95e2-8907772de626/school-catchments-scotland,15
senior salaries - data.gov.uk,https://www.data.gov.uk/dataset/6afb00e1-baf9-41fc-b65f-4cd55488e1b0/stockport-council-senior-salaries,15
sites of importance for nature conservation - data.gov.uk,https://www.data.gov.uk/dataset/d8edac8d-b8fa-4713-8c9a-77cecf275dae/sites-of-importance-for-nature-conservation2,15
special areas of conservation (scotland) - national data library,https://www.data.gov.uk/dataset/2559b8bc-ddd6-4cb1-8a98-9422e1b1865a/special-areas-of-conservation-scotland,15
sub-national electricity consumption - national data library,https://www.data.gov.uk/dataset/480984d5-13d7-48b1-93c8-2a0871ef5543/electricity_consumption_at_local_authority_level,15
town parish councils in england - data.gov.uk,https://www.data.gov.uk/dataset/2fe64aed-a51c-4661-a2de-9b736ace100b/town_parish_councils_in_england,15
uk gridded population at 1 km resolution for 2021 based on census 2021/2022 and land cover map 2021 - national data library,https://www.data.gov.uk/dataset/076cef76-337c-4e5f-8123-ef660e53a836/uk-gridded-population-at-1-km-resolution-for-2021-based-on-census-[date]-and-land-cover-2021,15
uk house price index - data.gov.uk,https://www.data.gov.uk/dataset/3bff64e9-[date]-bf12-323d4e60220e/uk-house-price-index,15
urban waste water treatment directive treatment plants - data.gov.uk,https://www.data.gov.uk/dataset/0f76a1c3-1368-476b-a4df-7ef32bfd9a8b/urban-waste-water-treatment-directive-treatment-plants?utm_source=chatgpt.com,15
wards (may 2025) boundaries uk bfc (v2) - national data library,https://www.data.gov.uk/dataset/612b175b-987c-4acf-8ca4-1f93c6947928/wards-may-2025-boundaries-uk-bfc-v2,15
wastewater treatment in england - data.gov.uk,https://www.data.gov.uk/dataset/d7e2c57b-110a-462b-97a0-9833e7d26cc2/wastewater-treatment-in-england?utm_source=chatgpt.com,15
westminster parliamentary constituencies (july 2024) boundaries uk bgc - data.gov.uk,https://www.data.gov.uk/dataset/7165b3a0-a1f2-40ff-a8e0-cfc2a573be30/westminster-parliamentary-constituencies-july-2024-boundaries-uk-bgc,15
wfd river basin districts cycle 2 - data.gov.uk,https://www.data.gov.uk/dataset/368ae5fb-65a1-4f19-98ff-a06a1b86b3fe/wfd-river-basin-districts-cycle-2,15
1:250k geological maps of northern ireland version 2 - data.gov.uk,https://www.data.gov.uk/dataset/b7e97bc8-3864-463b-a132-a81950c257db/1-250k-geological-maps-of-northern-ireland-version-2,14
2021 waste data interrogator - data.gov.uk,https://www.data.gov.uk/dataset/d8a12b93-03ef-4fbf-9a43-1ca7a054479c/2021-waste-data-interrogator,14
2022 waste data interrogator - national data library,https://www.data.gov.uk/dataset/aa53a313-f719-4e93-a98f-1b2572bd7189/2022-waste-data-interrogator,14
25k transparency report m12 march 2020 - data.gov.uk,https://www.data.gov.uk/dataset/0142b5eb-40d2-450f-a79b-f5f8bb6de8da/25k-transparency-report-m12-march-2020,14
2m lidar composite dsm & dtm for scotland - national data library,https://www.data.gov.uk/dataset/95df1b2b-dc6a-479c-[date]1a46ec2c/2m-lidar-composite-dsm-dtm-for-scotland,14
area management - ports and harbours - statutory harbour limit boundaries - data.gov.uk,https://www.data.gov.uk/dataset/e256cc43-c093-4e5b-9b38-fe372f5e1608/area-management-ports-and-harbours-statutory-harbour-limit-boundaries,14
barnet highways register - data.gov.uk,https://www.data.gov.uk/dataset/b82362b7-386b-43ea-a93b-05f5958eddbb/barnet-highways-register2,14
bgs geology 50k version 9 - national data library,https://www.data.gov.uk/dataset/fbda6964-5a9f-4edb-bf2d-c12cb8a9529c/bgs-geology-50k-version-9,14
building - national data library,https://www.data.gov.uk/dataset/c64e3b8e-75b5-4af0-abb8-93335cf865fc/building2,14
cambridgeshire county council public rights of way - data.gov.uk,https://www.data.gov.uk/dataset/3cfa7f89-09d3-4bf0-[date]0d27a744/cambridgeshire-county-council-public-rights-of-way,14
carbon and peatland 2016 map - data.gov.uk,https://www.data.gov.uk/dataset/fb36e642-a7b2-491d-8ad8-24b63e855de9/carbon-and-peatland-2016-map,14
catchment boundaries for scotland based on scottish environment protection agency (sepa) catchments british national grid (bng) 2023 - data.gov.uk,https://www.data.gov.uk/dataset/c2c2cb06-3d78-477a-b32e-bf[date]3d/catchment-boundaries-for-scotland-based-on-scottish-environment-protection-agency-sepa-cat-[date],14
claim crown court defence performance data - data.gov.uk,https://www.data.gov.uk/dataset/6a85bbee-4fe1-4290-8c69-d8388051f9d9/claim-crown-court-defence-performance-data,14
comah sites - data.gov.uk,https://www.data.gov.uk/dataset/460f3a15-a842-4f8d-8a29-72bd05bda4a3/comah-sites1,14
contracts finder archive - 2011 to 2015 - national data library,https://www.data.gov.uk/dataset/97c75a0c-dd9b-42f9-969c-5e667d8c80f1/contracts-finder-archive,14
contracts finder notices 05 2024 - data.gov.uk,https://www.data.gov.uk/dataset/c4938aa9-45c2-48fb-8aeb-58fe7e61c68c/contracts-finder-notices-05-2024,14
country parks (scotland) - data.gov.uk,https://www.data.gov.uk/dataset/08699fea-018f-4177-87c8-25f4bf866081/country-parks-scotland,14
court locations - data.gov.uk,https://www.data.gov.uk/dataset/7e62854a-2926-4f86-bdfb-b88c0800c628/court-locations,14
culverts - scotland - data.gov.uk,https://www.data.gov.uk/dataset/7b6ced68-e395-4b1e-a49b-a8d5b4e49399/culverts-scotland,14
"department for transport ministerial and special adviser meetings with external organisations (including meetings with newspaper and other media proprietors, editors and senior executives) - data.gov.uk",https://www.data.gov.uk/dataset/789fd6df-87a9-4144-bc59-62b0b84e59f0/dft-minister-external-meetings,14
department of health trust boundaries - data.gov.uk,https://www.data.gov.uk/dataset/0b04b46c-49af-45d5-b277-91b10937a01b/department-of-health-trust-boundaries,14
derbyshire local nature recovery strategy (lnrs) - data.gov.uk,https://www.data.gov.uk/dataset/bd5e7074-b729-461c-997e-e10f77f76d98/derbyshire-local-nature-recovery-strategy,14
domestic electricity and gas estimates by postcode in great britain - national data library,https://www.data.gov.uk/dataset/e7d4c1cf-45a0-4070-878f-24ad9641f655/domestic-electricity-and-gas-estimates-by-postcode-in-great-britain,14
empty homes - data.gov.uk,https://www.data.gov.uk/dataset/[date]-501d-4acb-92c2-2b1fafe9c5b4/empty-homes1,14
energy resources - sectoral marine plan for offshore wind energy - plan options - 2020 - data.gov.uk,https://www.data.gov.uk/dataset/be3494d8-4988-41a4-8e98-bd3a74ae9b4c/energy-resources-sectoral-marine-plan-for-offshore-wind-energy-plan-options-2020,14
environmentally sensitive areas (england) - data.gov.uk,https://www.data.gov.uk/dataset/a5b0ccc4-a144-4027-91fa-49084ff07da2/environmentally-sensitive-areas-england2,14
esfa: course directory - data.gov.uk,https://www.data.gov.uk/dataset/0bfbec0c-6d9a-4f52-97bb-b680bbfcfa44/sfa-course-directory,14
event duration monitoring - storm overflows - bathing season returns - data.gov.uk,https://www.data.gov.uk/dataset/337db2ad-e8e8-4d9d-9a7d-3ff5ab4d9813/event-duration-monitoring-storm-overflows-bathing-season-returns,14
export health certificates (live animals and animal product origins) issued between great britain and northern ireland by apha - data.gov.uk,https://www.data.gov.uk/dataset/ab7c91df-2cd8-4f2f-8349-4b84ae3554d5/export-health-certificates-live-animals-and-animal-product-origins-issued-between-gb-and-ni-by-apha,14
flood risk assessment wales (fraw) - data.gov.uk,https://www.data.gov.uk/dataset/6ac7173f-02a4-4414-a3bc-032a3760362e/flood-risk-assessment-wales-fraw1,14
freedom of information (foi) statistics - national highways - data.gov.uk,https://www.data.gov.uk/dataset/821d0eda-7ae6-48c5-b01b-27b0acbae687/freedom-of-information-foi-statistics-national-highways,14
freedom of information requests - data.gov.uk,https://www.data.gov.uk/dataset/0f43de82-1770-47b8-bead-bd1879dfdd46/freedom-of-information-requests1,14
gla population yield calculator - national data library,https://www.data.gov.uk/dataset/e4270c94-7d4c-4b33-becc-21bed6496aef/gla-population-yield-calculator1,14
green belts - scotland - national data library,https://www.data.gov.uk/dataset/4da3591e-3b96-49ad-9c53-[date]d939/green-belts-scotland,14
gridded estimates of daily and monthly areal rainfall for the united kingdom ([date]) [ceh-gear] - data.gov.uk,https://www.data.gov.uk/dataset/5a08e608-a813-440f-b7b0-87caf92edcf9/gridded-estimates-of-daily-and-monthly-areal-rainfall-for-the-united-kingdom-[date]-ceh-gear,14
groundwater level archive - national data library,https://www.data.gov.uk/dataset/75cb8ecc-e2f8-4b9a-b765-a9fd21766cd6/groundwater-level-archive,14
guildford borough council owned land and buildings - data.gov.uk,https://www.data.gov.uk/dataset/b771e602-b0d5-49f6-b31b-3f335bff0481/gbc-council-owned-lands-and-buildings,14
hse land use planning data - national data library,https://www.data.gov.uk/dataset/e41bda12-1fb0-451a-b9ae-df2c9c81131a/hse-land-use-planning-data,14
hydrological open data - national data library,https://www.data.gov.uk/dataset/98a4d46e-23e7-4430-883c-9e5f14645e8f/hydrological-open-data,14
image - data.gov.uk,https://www.data.gov.uk/dataset/be3d6848-f511-49ab-ae53-eeb1e4a27595/image,14
infiltration suds map (sustainable drainage systems) - data.gov.uk,https://www.data.gov.uk/dataset/21936dc9-ef83-42bd-a89d-9eca6b1fb22e/infiltration-suds-map-sustainable-drainage-systems,14
information security breaches survey - national data library,https://www.data.gov.uk/dataset/64a0b145-6d34-4e53-a037-9dd5702074ce/information-security-breaches-survey,14
iquanta - data.gov.uk,https://www.data.gov.uk/dataset/221b54e5-aecc-438a-81ad-11f41af01f95/iquanta,14
key performance indicators of freight delivery performance with electric vans in central london - data.gov.uk,https://www.data.gov.uk/dataset/d71c82bf-ad90-4c6e-8822-780a2598e13e/key-performance-indicators-of-freight-delivery-performance-with-electric-vans-in-central-london1,14
